,Timestamp,Reader,Applicant ID #,Applicant ID # Confirm,Reader #,Appropriate,Campus Awareness,Originality,Thoroughness,Campus Involvement,Video (Y/N),Comments,Reasons for Concern,Schools,Majors
350,4/23/2019 10:11:08,Stavros Agorakis,3023401,3023401,Reader 2,4,4,5,5,"lab, DG, Spoon",,Very original application with focused responses and passionate writing. The candidate is very thoughtful.,,WCAS,"Neuroscience, psychology, premed"
353,4/23/2019 10:16:14,Stavros Agorakis,3093202,3093202,Reader 2,3,2,2,2,"Wildside, APhi",,"The application, other than the first response, was not specific enough to Northwestern. Even for the 'day in the life of a NU member' question, the candidate didn't specify which NU athlete they'd pick, making the response sound generic.",,SOC,"Comm studies, PoliSci, IMC"
355,4/23/2019 10:27:28,Stavros Agorakis,3141986,3141986,Reader 2,2,4,4,4,"Work study, DM, DZ, Women in Law, Hillel",,"While this applicant clearly put a lot of effort into their responses, the lesson and slogan answers are a bit unfocused and unprofessional (e.g. they go on to discuss a friend's ""dangerous eating disorder""). Can be taught in training though.",,SOC,"Comm, BIP, psychology, IMC"
357,4/23/2019 10:32:53,Stavros Agorakis,3118589,3118589,Reader 2,1,2,1,1,"Supplies for Dreams, NBN, L&M, CRC exec, DM",,"Short, generic application.",,Medill,Journalism
360,4/23/2019 10:40:44,Stavros Agorakis,3125300,3125300,Reader 2,3,2,1,3,"Camp Kesem, Delt, IM sports",,"I wanted to like this candidate, but they didn't give me a lot in this application. Answers felt thoughtful on their part but read very unfocused in the end.",,Medill,"Journalism, Environmental Science"
364,4/23/2019 10:50:27,Stavros Agorakis,3026027,3026027,Reader 2,3,2,4,4,"Powder Blue Media, frisbee",,"This candidate's a business bro that doesn't seem to do much outside the Garage, but I'd want them to come in for an interview.",,Medill,"Journalism, entrepreneurship, leadership, history"
367,4/23/2019 11:00:06,Stavros Agorakis,3093432,3093432,Reader 2,3,3,2,3,"AEPi, theater",,"Quite middle-of-the-road app, another pre-med student talking about overcoming genchem. Their response to the 'fly on the wall' question though was very thoughtful and I got a sense of their storytelling skills there.",,WCAS,"Bio, premed"
368,4/23/2019 11:04:42,Stavros Agorakis,3083862,3083862,Reader 2,3,2,4,3,"Best Buddies, real estate club",,"I might suggest we wait a year for this applicant to gain more experiences, but their responses hint at an engaging voice. ",,SESP,LOC
369,4/23/2019 11:13:00,Stavros Agorakis,3090738,3090738,Reader 2,1,1,0,0,"NU Nights, NU Real Food, lab",,Answers are only a couple sentences long.,,WCAS,"Neuroscience, AT&P, premed"
370,4/23/2019 11:21:16,Stavros Agorakis,3094684,3094684,Reader 2,4,4,4,4,"ZTA, global arts marketing, Scene + Heard, The Daily NU, DM",,I'm interested to see this applicant in an interview.,,"SOC, Bienen","Dual degree Comm studies and Jazz studies, IMC"
371,4/23/2019 11:55:02,Stavros Agorakis,3090044,3090044,Reader 2,3,1,2,2,cheerleading,,"Maybe wait a year, the application was quite generic and the one longer/more thorough answer (lesson) did not focus so much on NU as the candidate's relationship with their mom",,WCAS,undeclared
372,4/23/2019 11:59:28,Stavros Agorakis,3095639,3095639,Reader 2,3,1,2,2,"SigNU, KASA",,"The candidate did not tie Northwestern to their responses as well as they could (the answer to the first prompt was not even about NU), and did not go in depth into their responses.",,WCAS,ISP
373,4/23/2019 12:04:04,Stavros Agorakis,3021363,3021363,Reader 2,3,2,3,3,Mayfest,,"This applicant is not involved in much outside of classes, but I'd love to hear how they approach the interview questions. The responses were not as detailed as they could be, but I did get a hint of their engaging voice.",,WCAS,"Psych, CogSci, IMC"
374,4/23/2019 12:08:58,Stavros Agorakis,3094174,3094174,Reader 2,4,4,3,4,"SigChi, IM sports",,"Specific, detailed responses and a lot of purple pride, though I'd like some more range in the aspects of their lives they detailed.",,WCAS,"Neuroscience, Chem, premed"
375,4/23/2019 12:13:20,Stavros Agorakis,3081329,3081329,Reader 2,4,3,5,4,"DG, Fusion, ISBE, China Care",,"This application made me lol with the coolest lesson. This candidate has an engaging, yet kind, voice that I'm interested in hearing more of.",,WCAS,"Econ, Stats"
376,4/23/2019 12:18:59,Stavros Agorakis,2972167,2972167,Reader 2,4,3,3,4,"SWE, GPhi, CSA",,"This applicant focuses most of their answers on engineering/McCormick, but I can definitely see them being a knowledgeable junior with many experiences to share.",,MEAS,"MDE, French"
377,4/23/2019 12:21:02,Stavros Agorakis,3010191,3010191,Reader 2,1,1,2,0,"MeeOw, ODB, Titanic, Vertigo",,Funny but short,,SOC,"Theater, MT certificate, Legal Studies"
520,4/24/2019 14:52:46,Stavros Agorakis,3058889,3058889,Reader 1,4,3,5,4,"ASG, Emerge Leadership Program, Northwestern Art Review, Sexual Health and Assault Peer Education, Brady Scholars Program",,"First application without NU in the slogan! However, it was super original. Only the second response was a little weak and unfocused, but I'm excited to see this candidate in the interviews.",,WCAS,"Art History, PoliSci, Classics, Brady Scholars Program"
530,4/24/2019 15:01:27,Stavros Agorakis,3015999,3015999,Reader 1,4,4,4,5,"Lipstick, The Daily, Blackout",,"Very interesting transfer app. I really enjoyed their perspective throughout the responses, and their purple passion and voice are very visible and clear. ",,SOC,"RTVF, PoliSci, Theater"
533,4/24/2019 15:09:39,Stavros Agorakis,3095616,3095616,Reader 1,4,5,5,4,"ISBE, Delta Sigma, knitting club, NUDM, AAIV, Women in Business",,"Loved this applicant!! Super different from everything I've read so far (they went into memes and the power of religion all within the same app) and, despite being just a first-year, they know a lot about campus already. I'm sold.",,WCAS,"MMSS, Econ; French, Stats"
557,4/24/2019 16:11:02,Stavros Agorakis,3095894,3095894,Reader 1,5,3,3,4,"Besy Buddies, AKPsi, ISBE",,"When I pasted the link of the video, Vimeo said the page does not exist. Other than that, the applicant had a really strong response to the first prompt, and while the rest were a little unoriginal, I found a lot of pride and enthusiasm in them being a Wildcat.",,MEAS,Biomed engineering; Econ
562,4/24/2019 16:17:00,Stavros Agorakis,3026223,3026223,Reader 1,3,3,2,4,"lab, work study, Northwestern Business Review, ASG",,"I like this candidate's voice a lot (first-gen, low-income), but the application was at times not specific enough and all over the place. They appear to have a knack for storytelling, though.",,Medill,"Journalism, Econ"
565,4/24/2019 16:22:45,Stavros Agorakis,2942603,2942603,Reader 1,5,4,4,4,"Delta Sigma Pi, Investment Management Group, DZ, DM, SPAC lifeguard",,"I really liked this applicant; they were very appropriate all throughout, and they were the first one for me to really break stereotypes surrounding NU. They'd definitely be able to handle tough questions from parents.",,WCAS,"Econ, Psych"
584,4/24/2019 18:06:54,Stavros Agorakis,3015684,3015684,Reader 2,4,3,2,4,"Chapin, Applause for a Cause",,"The application was definitely thorough, but I didn't see a lot of originality in the responses. I would've loved to see NU through their eyes in the slogan question, but they just repeated ""And is in our DNA,"" which they said felt like a cop-out but supported it. ",,SOC,RTVF
586,4/24/2019 18:11:47,Stavros Agorakis,2925300,2925300,Reader 2,3,2,3,3,"Farley, barista, German Undergrad Advisory Board",,"I enjoyed the ""lessons learned"" response, but I didn't think this was a strong application for a junior. There didn't seem to be much campus awareness, and the storytelling aspect of the ""life as a member of the NU community"" prompt was lacking.",,SESP,LOC/Middle East and North African Studies/International Studies
590,4/24/2019 18:19:24,Stavros Agorakis,3095249,3095249,Reader 2,3,4,3,4,"Marching Band, basketball, SAI, University Christian Ministry, Flipside",,"This applicant is very involved and their responses are very kind and wholesome. I think the messages they'd send out to students would be lovely, I'm just a little afraid about a couple ""prestigious school stereotypes"" they brought up in the app that I thought needed a better spin.",,WCAS,Is transferring to WCAS for neuroscience and polisci
592,4/24/2019 18:27:12,Stavros Agorakis,3095804,3095804,Reader 2,3,4,5,4,"Kappa, AKPsi, Girls in Engineering, Best Buddies, Her Campus",Higher,"Best. Slogan. Ever. Super original app with a clear, passionate voice. I'm just a little hesitant on giving a higher appropriateness score due to the response to the second prompt, where the applicant didn't really break the stereotype of comparing themselves to others, but rather what came off was ""everyone is too different, why try.""

After watching the video, my verdict is WE MUST HIRE HER.",,WCAS,Econ
593,4/24/2019 18:38:05,Stavros Agorakis,2997621,2997621,Reader 2,2,5,3,3,"F15, PCP, Mayfest, Blackout, Niteskool, Camp Kesem, STUCO, film sets, ZBT",,"I scored this applicant low on appropriateness because they did not convince me on their spin for transferring to NU (in fact, they only said the ""LOVED"" Syracuse twice) and their slogan was a little inappropriate. The app did make me chuckle a couple of times, but they also misread the last question, which means they might not have paid that much attention to the prompt for us to see their storytelling instincts. ",,SOC,RTVF
