,Timestamp,Reader,Applicant ID #,Applicant ID # Confirm,Reader #,Appropriate,Campus Awareness,Originality,Thoroughness,Campus Involvement,Video (Y/N),Comments,Reasons for Concern,Schools,Majors
152,4/20/2019 19:02:03,Cami Steppe,3130659,3130659,Reader 1,2,2,3,1,"Camp Kesem, St. Baldrick's, ASG ",Higher,"The application was not very thorough at all, the answers were pretty original, and he didn't show a great amount of campus involvement. I enjoyed the video because it clearly showed that he could tell a story well, but the application was disappointing compared to the video. ",,Medill,"Journalism, Psych, IMC "
153,4/20/2019 19:06:58,Cami Steppe,3028078,3028078,Reader 1,4,4,5,5,"ASG, Club Softball ",,"This applicant's answers were original and very interesting to read. Although the applicant is only involved with two things on campus, their role in ASG seems to give them a great understanding of Northwestern, they spun their setback the first quarter very well and it seems like they would make a great tour guide! ",,"WCAS, SESP","Social Policy, Stats, Political Science "
180,4/20/2019 23:28:00,Cami Steppe,3027098,3027098,Reader 1,4,3,3,5,"Philharmonia, TIDAL Lab ",,"This applicant has a well written application, with good spin in her slogan question. However, the slogan itself was a bit unoriginal and they seem to be somewhat lacking in campus awareness, but overall a thorough application. ",,WCAS,Computer Science 
181,4/20/2019 23:34:06,Cami Steppe,3136484,3136484,Reader 1,3,2,3,5,"ShireiNU, AEPi ",,"A very thorough app, but too much focus on one activity - his fraternity and doesn't demonstrate a broader campus awareness. I enjoyed his slogan response and his lesson response, but the other two seemed not super serious. ",,WCAS,"econ, chinese, Kaplan "
182,4/20/2019 23:39:31,Cami Steppe,3136703,3136703,Reader 1,2,3,3,2,"NSTV, SPAC, NBN ",,"This application was not super thorough: the answers were short, and the answers not super well thought through. Additionally, his coolest lesson did not seem appropriate for this app.",,SOC,RTVF
183,4/20/2019 23:43:27,Cami Steppe,2949637,2949637,Reader 1,3,3,3,2,"Extreme Measures, Chi Omega ",,This applicant did not show a wide campus involvement nor were her answers very thorough whatsoever. ,,SOC,"RTVF, music tech "
184,4/20/2019 23:47:45,Cami Steppe,3124413,3124413,Reader 1,3,5,3,3,"Engineers without Borders, New movement project, dancers ",,"This applicant definitely showed a range of campus awareness. The lesson response left more to be desired as they just talked about the winter, but showed a good amount of spin. ",,"MEAS, SOC","Mechanical Engineering, Dance "
185,4/20/2019 23:53:31,Cami Steppe,3083192,3083192,Reader 1,3,4,3,4,"Seesaw Theatre, Zeta, Purple Crayon Players, Jewish Theatre Ensemble, NUDM ",,"This applicant is involved in a wide variety of activities, demonstrating their campus awareness. Her slogan was original, but her lesson response had a bit of a lack of spin and unfortunately her video link didn't work! ",,SOC,"theatre, MMSS, theatre for young audiences module"
186,4/21/2019 0:02:10,Cami Steppe,3093437,3093437,Reader 1,3,2,3,4,"StuCo, Happiness Club, NU book club, purple preview host",Lower,"This applicant's campus awareness was limited only to the theater world which is all she discussed in her responses. Her video was quite a theatrical style parable and didn't really give me any insight into what she would be like talking a tour group, just made me confused. ",,SOC,theatre
187,4/21/2019 0:05:00,Cami Steppe,3091660,3091660,Reader 1,3,2,2,2,THUNK,,"This application was not thorough, as all of the answers were short. The slogan is the same one I've seen in many apps, and they did not show a wide campus awareness at all. ",,SOC,"theatre, dance, music theatre concentration "
